link,name,old_price,price
https://www.amazon.com/Lenovo-ThinkPad-T15g-20YS002MUS-Notebook/dp/B09H3S21MT/ref=sr_1_530?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-530,"Lenovo ThinkPad T15g Gen 2 20YS002MUS 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.30 GHz - 16 GB RAM - 512 GB SSD - Black ",nan,"3,098."
https://www.amazon.com/GIGABYTE-AERO-16-YE5-YE5-A4US958HP/dp/B09Z7349N8/ref=sr_1_531?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-531,"GIGABYTE AERO 16 YE5 - 16"" 4K/UHD+ Samsung AMOLED, Intel Core i9-12900H, NVIDIA GeForce RTX 3080 Ti Laptop GPU 16GB GDDR6, 64GB DDR5 RAM, 2TB SSD, Win11 Pro (AERO 16 YE5-A4US958HP) ","$3,226.96","2,899."
https://www.amazon.com/ASUS-Intel-Celeron-14-inch-Laptop/dp/B08R6B218S/ref=sr_1_532?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-532,ASUS E410 Intel Celeron N4020 4GB 128GB eMMC 14-inch HD LED Win 10 Laptop (Pink) ,$369.95,329.
https://www.amazon.com/Acer-Chromebook-Dual-Core-A4-9120C-Bluetooth/dp/B098JCH27M/ref=sr_1_533?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-533,"Acer Chromebook 311 Laptop | AMD A-Series Dual-Core A4-9120C | 11.6"" HD Display | AMD Radeon R4 Graphics | 4GB DDR4 | 64GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-42LY ",$229.99,161.
https://www.amazon.com/Lenovo-Chromebook-Flex-Touchscreen-i3-10110/dp/B08RMPD837/ref=sr_1_534?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-534,"Lenovo Chromebook Flex 5 13.3"" 2-in-1 Touchscreen , i3-10110 ",$419.00,379.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzQ3NDkzMzgwMTQ1Mzc0OjE2Njg3OTI0Nzk6c3BfYnRmX2Jyb3dzZToyMDAwNzE1NTg4NzQxOTg6OjA6Og&url=%2FLenovo-Display-Storage-Graphics-Graphite%2Fdp%2FB09YWM1CM1%2Fref%3Dsr_1_535_sspa%3Fqid%3D1668792479%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-535-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1,"Lenovo Flex 5 Laptop, 14.0"" FHD Touch Display, AMD Ryzen 5 5500U, 16GB RAM, 512GB Storage, AMD Radeon Graphics, Windows 11 Home, Graphite Grey ",$799.99,649.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzQ3NDkzMzgwMTQ1Mzc0OjE2Njg3OTI0Nzk6c3BfYnRmX2Jyb3dzZToyMDAwOTExMjU0MzAyOTg6OjA6Og&url=%2FAcer-Chromebook-Octa-Core-Processor-CB514-2H-K7GF%2Fdp%2FB09SKSHWSD%2Fref%3Dsr_1_536_sspa%3Fqid%3D1668792479%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-536-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1,"Acer Chromebook 514 Laptop | 14"" FHD Display | MediaTek Kompanio 828 Octa-Core Processor | 8GB RAM | 64GB eMMC | Wi-Fi 6 | Backlit KB | Chrome OS | Up to 15 Hours Battery Life | CB514-2H-K7GF ",nan,409.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzQ3NDkzMzgwMTQ1Mzc0OjE2Njg3OTI0Nzk6c3BfYnRmX2Jyb3dzZToyMDAwOTM3MzU4OTIxOTg6OjA6Og&url=%2FAcer-i7-1260P-Graphics-Bluetooth-SF314-512-73YZ%2Fdp%2FB09YSYVV2R%2Fref%3Dsr_1_537_sspa%3Fqid%3D1668792479%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1,"Acer Swift 3 Intel Evo Thin&Light Laptop | 14"" QHD 100% sRGB | Intel Core i7-1260P | Intel Iris Xe Graphics | 16GB LPDDR4X | 1TB SSD | Killer Wi-Fi 6E AX1675|Bluetooth| Windows 11 Home |SF314-512-73YZ ",nan,"1,099."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNDQwMDQzNTI0MDg4Mjc4OjE2Njg3OTI0ODE6c3BfYXRmX2Jyb3dzZToyMDAwNjM0MjI4MDgyOTg6OjA6Og&url=%2FLenovo-IdeaPad-Essential-Computer-i5-15-6%2Fdp%2FB09RNC69K8%2Fref%3Dsr_1_529_sspa%3Fqid%3D1668792481%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-529-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro ",$649.99,529.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNDQwMDQzNTI0MDg4Mjc4OjE2Njg3OTI0ODE6c3BfYXRmX2Jyb3dzZToyMDAwODY0ODIyODIwOTg6OjA6Og&url=%2FAcer-A515-56-32DK-Display-i3-1115G4-Processor%2Fdp%2FB09R5VYRVN%2Fref%3Dsr_1_530_sspa%3Fqid%3D1668792481%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-530-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode. ",$379.99,289.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNDQwMDQzNTI0MDg4Mjc4OjE2Njg3OTI0ODE6c3BfYXRmX2Jyb3dzZToyMDAwODY0OTk3MzE1OTg6OjA6Og&url=%2FLenovo-2-1-Chromebook-Computer%2Fdp%2FB09RNCN3YV%2Fref%3Dsr_1_531_sspa%3Fqid%3D1668792481%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-531-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Lenovo IdeaPad Flex 5i - 2022 - Chromebook 2-in-1 Laptop - Chrome OS - 13.3"" FHD Touch Display - 8GB Memory - 128GB Storage - Intel Core i3 11th Gen - Abyss Blue ",$429.99,299.
https://www.amazon.com/Dell-Latitude-5420-I5-11-1145/dp/B08VD734Q4/ref=sr_1_532?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-532,Dell Latitude 5420 I5 11-1145 G7 ,nan,956.
https://www.amazon.com/ASUS-Chromebook-Touchscreen-Magnesium-Alloy-CX9400CEA-DS762T/dp/B09F8Y2HJW/ref=sr_1_533?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-533,"ASUS Chromebook CX9, 14"" Touchscreen FHD NanoEdge Display, Intel Core i7-1165G7 Processor, 512GB SSD, 16GB RAM, USI Stylus Support, NumberPad, Chrome OS, Magnesium-Alloy, Star Black, CX9400CEA-DS762T ",nan,"1,153."
https://www.amazon.com/XPG-Xenia-Ultrabook-Non-Touch-i7-1165G7/dp/B09S534ZBX/ref=sr_1_534?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-534,"2022 Newest XPG Xenia Ultrabook Laptop, 14"" Full-HD Non-Touch Display, 11th Gen Intel Core i7-1165G7 Quad-Core Processor, 16GB RAM, 512GB PCIe SSD, Backlit Keyboard, Type-C, HDMI, Windows 10 Home ",nan,nan
https://www.amazon.com/Samsung-XE521QAB-K01US-Chromebook-Celeron-Standard/dp/B07HH5VZTN/ref=sr_1_535?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-535,"Samsung Chromebook Plus V2, 2-in-1, 4GB RAM, 32GB eMMC, 13MP Camera, Chrome OS, 12.2"", 16:10 Aspect Ratio, Stealth Silver (XE521QAB-K01US) ",$449.99,363.
https://www.amazon.com/HP-Snapdragon-Processor-Touchscreen-14-ed0010nr/dp/B09GH1C3RS/ref=sr_1_536?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-536,"HP 14 Laptop, Qualcomm Snapdragon 7c Processor, 8 GB RAM, 128 GB eMMC, 14-inch Full HD Touchscreen, Windows 11 Home, Thin & Portable, Long Battery Life, Wi-Fi 5 & Bluetooth 5 Combo (14-ed0010nr, 2021) ",$499.99,375.
https://www.amazon.com/Dell-Inspiron-Touchscreen-GeForce-Fingerprint/dp/B0BBN9VS3T/ref=sr_1_537?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-537,"Dell Inspiron 15.6"" FHD Touchscreen Laptop, AMD Ryzen 7 5825U, GeForce MX550, 32GB DDR4 RAM, 1TB SSD, Webcam, HDMI, Fingerprint Reader, WiFi 6, Windows 11 Home, Silver ",nan,nan
https://www.amazon.com/Dell-Precision-5760-Mobile-Workstation/dp/B09HBNMMKH/ref=sr_1_538?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-538,"Dell Precision 5000 5760 17"" Mobile Workstation - Full HD Plus - 1920 x 1200 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 32 GB RAM - 512 GB SSD - Gray ","$2,499.99","2,377."
https://www.amazon.com/Lenovo-IdeaPad-Notebook-Computer-i7-1165G7/dp/B09L4XBHXF/ref=sr_1_539?qid=1668792481&rnid=13896617011&s=computers-intl-ship&sr=1-539,"Lenovo IdeaPad 3 17.3&amp;quot; HD+ Notebook Computer, Intel Core i7-1165G7 2.80 GHz, 8GB RAM, 256GB SSD, Windows 11 Home, Arctic Gray ",nan,582.
